,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,TCN,Tricon Residential Inc.,3.03B,0.18%,1356176,849.78M
83,DBRG,"DigitalBridge Group, Inc.",3.02B,0.32%,1805143,821.38M
84,SITC,SITE Centers Corp.,2.95B,0.50%,2354345,546.28M
85,BNL,"Broadstone Net Lease, Inc.",2.84B,0.47%,1877803,442.89M
86,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.78B,3.64%,650446,319.87M
87,ESRT,"Empire State Realty Trust, Inc.",2.77B,-,597629,739.57M
88,CDP,COPT Defense Properties,2.77B,-0.46%,443895,684.98M
89,IIPR,"Innovative Industrial Properties, Inc.",2.76B,0.60%,220379,309.51M
90,LXP,LXP Industrial Trust,2.65B,-0.33%,1476633,340.50M
91,DEI,"Douglas Emmett, Inc.",2.64B,1.37%,1431998,1.02B
92,HIW,"Highwoods Properties, Inc.",2.64B,0.57%,595669,834.00M
93,MPW,"Medical Properties Trust, Inc.",2.64B,-2.27%,12970952,871.80M
94,ESBA,"Empire State Realty OP, L.P.",2.64B,2.24%,10183,739.57M
95,NHI,"National Health Investors, Inc.",2.61B,0.82%,109308,319.84M
96,OUT,Outfront Media Inc.,2.61B,-0.50%,1170709,1.82B
97,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,-,61181,214.50M
98,NMRK,"Newmark Group, Inc.",2.56B,-0.85%,716902,2.47B
99,ABR,"Arbor Realty Trust, Inc.",2.43B,-1.31%,2788451,721.01M
100,FCPT,"Four Corners Property Trust, Inc.",2.27B,-0.29%,637069,250.61M
101,SHO,"Sunstone Hotel Investors, Inc.",2.24B,0.45%,1013031,986.48M
102,CWK,Cushman & Wakefield plc,2.21B,-0.72%,1342832,9.49B
103,UE,Urban Edge Properties,2.08B,0.43%,486063,416.92M
104,EQC,Equity Commonwealth,2.03B,0.11%,581721,60.52M
105,OPEN,Opendoor Technologies Inc.,1.99B,7.87%,32822632,6.95B
106,DRH,DiamondRock Hospitality Company,1.98B,0.32%,979122,1.07B
107,PEB,Pebblebrook Hotel Trust,1.86B,0.90%,831830,1.42B
108,AKR,Acadia Realty Trust,1.81B,1.11%,785354,338.69M
109,FOR,Forestar Group Inc.,1.80B,-0.80%,144650,1.53B
110,GNL,"Global Net Lease, Inc.",1.77B,0.13%,1170831,515.07M
111,IVT,InvenTrust Properties Corp.,1.68B,-0.08%,175243,258.68M
112,CXW,"CoreCivic, Inc.",1.67B,-2.22%,642614,1.90B
113,AAT,"American Assets Trust, Inc.",1.63B,-0.28%,284319,441.16M
114,ROIC,Retail Opportunity Investments Corp.,1.60B,0.40%,806262,327.73M
115,ARI,"Apollo Commercial Real Estate Finance, Inc.",1.58B,-0.09%,717263,344.59M
116,XHR,"Xenia Hotels & Resorts, Inc.",1.57B,0.75%,751134,1.03B
117,NXRT,"NexPoint Residential Trust, Inc.",1.55B,-2.14%,127698,277.53M
118,EXPI,"eXp World Holdings, Inc.",1.55B,-7.46%,2990227,4.28B
119,RC,Ready Capital Corporation,1.54B,0.90%,1716033,630.58M
120,JBGS,JBG SMITH Properties,1.53B,0.06%,747177,604.20M
121,VRE,"Veris Residential, Inc.",1.50B,0.13%,474823,279.86M
122,UNIT,Uniti Group Inc.,1.47B,-1.45%,763163,1.15B
123,GTY,Getty Realty Corp.,1.47B,-1.25%,208854,186.42M
124,SAFE,Safehold Inc.,1.40B,0.41%,412372,352.58M
125,LADR,Ladder Capital Corp,1.39B,-1.00%,497852,264.21M
126,LTC,"LTC Properties, Inc.",1.39B,0.19%,246799,197.24M
127,CMTG,"Claros Mortgage Trust, Inc.",1.36B,0.20%,127923,306.55M
128,TWO,Two Harbors Investment Corp.,1.32B,-0.70%,837345,31.79M
129,MMI,"Marcus & Millichap, Inc.",1.27B,-3.61%,170038,645.93M
130,NTST,NETSTREIT Corp.,1.26B,0.29%,630112,131.91M
131,BFS,"Saul Centers, Inc.",1.24B,0.08%,52369,257.21M
132,PMT,PennyMac Mortgage Investment Trust,1.23B,-0.14%,456486,429.02M
133,ELME,Elme Communities,1.17B,-0.37%,342896,227.91M
134,DEA,"Easterly Government Properties, Inc.",1.17B,-1.14%,680505,287.23M
135,KW,"Kennedy-Wilson Holdings, Inc.",1.16B,-1.55%,1329997,562.60M
136,MFA,"MFA Financial, Inc.",1.16B,-0.62%,629533,248.45M
137,ALEX,"Alexander & Baldwin, Inc.",1.16B,0.94%,241914,208.90M
138,AHR,"American Healthcare REIT, Inc.",1.14B,1.77%,940207,1.84B
139,PGRE,"Paramount Group, Inc.",1.10B,0.87%,1192153,742.79M
140,CIM,Chimera Investment Corporation,1.09B,-2.21%,1104147,252.64M
141,FBRT,"Franklin BSP Realty Trust, Inc.",1.09B,-1.51%,240675,263.95M
142,UMH,"UMH Properties, Inc.",1.08B,-0.32%,225007,220.93M
143,SVC,Service Properties Trust,1.08B,-0.77%,900087,1.87B
144,AIV,Apartment Investment and Management Company,1.08B,-0.27%,527638,187.00M
145,ALX,"Alexander's, Inc.",1.05B,1.44%,3276,224.96M
146,PLYM,"Plymouth Industrial REIT, Inc.",994.28M,0.56%,172362,199.85M
147,EFC,Ellington Financial Inc.,977.42M,-0.26%,707122,276.92M
148,HPP,"Hudson Pacific Properties, Inc.",923.97M,0.78%,1695704,952.30M
149,AHH,"Armada Hoffler Properties, Inc.",921.35M,-0.19%,416563,667.16M
150,ARR,"ARMOUR Residential REIT, Inc.",916.45M,-0.48%,1103858,-24.37M
151,BRSP,"BrightSpire Capital, Inc.",893.00M,-1.02%,502585,232.72M
152,CSR,Centerspace,892.79M,-1.75%,28846,261.31M
153,RWT,"Redwood Trust, Inc.",793.41M,-1.66%,2044335,165.63M
154,PDM,"Piedmont Office Realty Trust, Inc.",782.97M,-0.63%,456639,577.76M
155,BDN,Brandywine Realty Trust,754.95M,0.92%,636051,514.65M
156,DX,"Dynex Capital, Inc.",730.63M,-,855992,26.75M
157,CHCT,Community Healthcare Trust Incorporated,725.64M,-1.69%,113727,112.85M
158,CBL,"CBL & Associates Properties, Inc.",710.01M,1.27%,67298,535.29M
159,KREF,KKR Real Estate Finance Trust Inc.,696.26M,-1.38%,332109,202.81M
160,RDFN,Redfin Corporation,671.33M,-6.99%,8710332,976.67M
161,INN,"Summit Hotel Properties, Inc.",667.08M,0.48%,694368,736.13M
162,NYMT,"New York Mortgage Trust, Inc.",657.80M,-0.69%,442956,198.87M
163,GMRE,Global Medical REIT Inc.,616.82M,-0.69%,316006,141.05M
164,WSR,Whitestone REIT,604.28M,-0.08%,212598,146.97M
165,DHC,Diversified Healthcare Trust,589.02M,-1.22%,1221028,1.41B
166,TRTX,"TPG RE Finance Trust, Inc.",587.91M,1.85%,774765,116.39M
167,PGRU,PropertyGuru Limited,586.49M,-2.22%,47486,113.74M
168,HOUS,Anywhere Real Estate Inc.,576.75M,0.19%,1950587,5.64B
169,FRPH,"FRP Holdings, Inc.",574.36M,-2.94%,11624,41.25M
170,REAX,The Real Brokerage Inc.,558.16M,-11.18%,1733626,689.16M
171,GOOD,Gladstone Commercial Corporation,538.16M,1.30%,243203,147.58M
172,FPI,Farmland Partners Inc.,531.70M,-0.37%,179627,57.47M
173,CLDT,Chatham Lodging Trust,506.94M,-0.60%,189161,311.11M
174,SRG,Seritage Growth Properties,500.05M,-1.90%,612078,34.56M
175,UHT,Universal Health Realty Income Trust,488.54M,0.34%,108128,95.58M
176,OLP,"One Liberty Properties, Inc.",479.69M,-0.09%,36157,90.65M
177,LAND,Gladstone Land Corporation,465.32M,-0.92%,161492,90.40M
178,FPH,"Five Point Holdings, LLC",458.29M,-1.27%,86450,211.73M
179,IVR,Invesco Mortgage Capital Inc.,444.87M,-0.65%,606217,3.87M
180,ORC,"Orchid Island Capital, Inc.",442.71M,0.23%,682172,-20.70M
181,LSEA,Landsea Homes Corporation,434.78M,-3.38%,169152,1.21B
182,ACRE,Ares Commercial Real Estate Corporation,419.60M,-1.43%,582544,92.93M
183,MLP,"Maui Land & Pineapple Company, Inc.",416.62M,-3.67%,31962,9.05M
184,STRW,Strawberry Fields REIT LLC,409.74M,-0.63%,4900,97.90M
185,PSTL,"Postal Realty Trust, Inc.",389.35M,-0.36%,37496,63.71M
186,CTO,"CTO Realty Growth, Inc.",380.45M,-0.54%,139000,109.12M
187,RMR,The RMR Group Inc.,379.12M,-2.19%,143245,973.25M
188,NLOP,Net Lease Office Properties,332.04M,-0.61%,158163,174.97M
189,TCI,"Transcontinental Realty Investors, Inc.",323.12M,-1.45%,11698,49.24M
190,NREF,"NexPoint Real Estate Finance, Inc.",304.65M,-1.68%,22021,28.68M
191,REFI,"Chicago Atlantic Real Estate Finance, Inc.",294.98M,-0.80%,176768,57.15M
192,ARL,"American Realty Investors, Inc.",290.74M,-2.11%,5026,49.76M
193,BRT,BRT Apartments Corp.,285.22M,-1.28%,39864,93.62M
194,AOMR,"Angel Oak Mortgage, Inc.",265.38M,0.66%,58332,54.86M
195,AFCG,"AFC Gamma, Inc.",263.09M,0.96%,153712,64.18M
196,FLJ,FLJ Group Limited,257.96M,4.21%,34929,-
