,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,UAL,"United Airlines Holdings, Inc.",14.31B,-0.16%,5663970,53.72B
87,XPO,"XPO Logistics, Inc.",14.24B,-0.47%,737835,7.74B
88,LECO,"Lincoln Electric Holdings, Inc.",14.12B,0.21%,235942,4.19B
89,OC,Owens Corning,13.90B,-1.33%,580710,9.68B
90,RBA,RB Global Inc,13.77B,-0.21%,849003,3.68B
91,SWK,"Stanley Black & Decker, Inc.",13.56B,-0.02%,1330771,15.78B
92,PNR,Pentair plc,13.33B,0.01%,695312,4.10B
93,BLD,TopBuild Corp.,13.04B,-0.56%,248169,5.19B
94,AOS,A. O. Smith Corporation,12.81B,-1.41%,768805,3.85B
95,TFII,TFI International Inc.,12.77B,-0.01%,136850,7.52B
96,UHAL.B,U-Haul Holding Company,12.73B,-1.45%,251228,5.72B
97,UHAL,U-Haul Holding Company,12.73B,-0.91%,60140,5.72B
98,WMS,"Advanced Drainage Systems, Inc.",12.59B,-0.42%,401562,2.84B
99,GFL,GFL Environmental Inc.,12.54B,0.74%,1470037,5.65B
100,ACM,AECOM,12.50B,0.01%,639808,14.90B
101,NVT,nVent Electric plc,11.55B,0.97%,1293381,3.26B
102,RRX,Regal Rexnord Corporation,11.48B,0.49%,194681,6.25B
103,HII,"Huntington Ingalls Industries, Inc.",11.44B,0.54%,205130,11.45B
104,ALLE,Allegion plc,11.42B,0.73%,505400,3.65B
105,FIX,"Comfort Systems USA, Inc.",11.01B,0.31%,196646,5.21B
106,ITT,ITT Inc.,10.43B,-0.41%,188536,3.28B
107,TREX,"Trex Company, Inc.",10.25B,0.25%,464952,1.09B
108,CLH,"Clean Harbors, Inc.",10.13B,1.84%,254726,5.41B
109,FBIN,"Fortune Brands Innovations, Inc.",10.10B,-1.40%,950478,4.63B
110,CNM,"Core & Main, Inc.",10.03B,-0.45%,3525280,6.64B
111,STN,Stantec Inc.,9.68B,0.98%,71923,3.81B
112,TTEK,"Tetra Tech, Inc.",9.56B,-0.98%,201857,4.86B
113,TTC,The Toro Company,9.37B,-0.87%,588747,4.41B
114,APG,APi Group Corporation,9.36B,-0.71%,1061337,6.93B
115,CW,Curtiss-Wright Corporation,9.28B,0.77%,115693,2.85B
116,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",9.17B,-0.78%,22006,1.30B
117,AAL,American Airlines Group Inc.,9.14B,1.07%,23682021,52.79B
118,BWXT,"BWX Technologies, Inc.",9.12B,0.36%,597841,2.50B
