,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
368,OFLX,"Omega Flex, Inc.",734.46M,-1.13%,12234,111.47M
369,PBI,Pitney Bowes Inc.,725.53M,-1.70%,870162,3.27B
370,SNCY,"Sun Country Airlines Holdings, Inc.",725.29M,0.44%,550946,1.05B
371,HA,"Hawaiian Holdings, Inc.",704.04M,-1.09%,458863,2.72B
372,GSL,"Global Ship Lease, Inc.",702.01M,-1.75%,411041,674.80M
373,IIIN,"Insteel Industries, Inc.",697.03M,-1.56%,58386,604.01M
374,NPWR,NET Power Inc.,686.50M,0.52%,457160,175.00K
375,ASC,Ardmore Shipping Corporation,684.00M,-1.75%,399878,395.98M
376,EGLE,Eagle Bulk Shipping Inc.,680.10M,2.56%,122844,393.80M
377,TPC,Tutor Perini Corporation,665.93M,0.86%,381355,3.88B
378,SPCE,"Virgin Galactic Holdings, Inc.",664.07M,-9.64%,20252302,6.80M
379,AGX,"Argan, Inc.",652.67M,0.96%,49753,527.56M
380,HSII,"Heidrick & Struggles International, Inc.",642.72M,0.34%,96455,1.04B
381,NVRI,Enviri Corporation,640.28M,0.87%,363576,2.07B
382,PL,Planet Labs PBC,635.65M,-,896719,214.82M
383,CASS,"Cass Information Systems, Inc.",631.97M,-0.71%,41725,197.51M
384,PLPC,Preformed Line Products Company,621.18M,-3.77%,13233,669.68M
385,CRESY,Cresud S.A.C.I.F. y A.,611.25M,4.64%,281335,743.19M
386,ATRO,Astronics Corporation,608.68M,-0.85%,90986,689.21M
387,BWMN,Bowman Consulting Group Ltd.,602.62M,-1.34%,63221,346.26M
388,FIP,FTAI Infrastructure Inc.,596.50M,-0.51%,481094,310.42M
389,CLCO,Cool Company Ltd.,588.14M,-2.24%,186905,372.12M
390,TITN,Titan Machinery Inc.,584.03M,-2.43%,275587,2.49B
391,GLDD,Great Lakes Dredge & Dock Corporation,574.29M,-1.86%,329030,589.63M
392,CVLG,"Covenant Logistics Group, Inc.",572.60M,-1.32%,64010,1.10B
393,SB,"Safe Bulkers, Inc.",553.62M,1.41%,519552,284.40M
394,LNZA,"LanzaTech Global, Inc.",542.83M,-,292642,62.63M
395,EVLV,"Evolv Technologies Holdings, Inc.",540.25M,-2.82%,671241,80.42M
396,NPK,"National Presto Industries, Inc.",538.69M,-0.17%,35544,340.91M
397,ADSE,ADS-TEC Energy PLC,526.59M,0.86%,18452,60.74M
398,EBF,"Ennis, Inc.",525.77M,-1.48%,143358,425.37M
399,FC,Franklin Covey Co.,521.48M,0.69%,55874,279.55M
400,LILM,Lilium N.V.,512.48M,1.46%,1505341,-
401,KE,"Kimball Electronics, Inc.",508.82M,-1.23%,88044,1.84B
402,AMSC,American Superconductor Corporation,507.72M,-5.27%,391248,135.35M
403,ACCO,ACCO Brands Corporation,498.37M,-,926791,1.83B
404,FCEL,"FuelCell Energy, Inc.",497.05M,-2.73%,6921595,103.01M
405,LMB,"Limbach Holdings, Inc.",470.39M,2.52%,223010,516.35M
406,SAVE,"Spirit Airlines, Inc.",469.66M,-0.23%,5633280,5.36B
407,ACTG,Acacia Research Corporation,464.51M,5.59%,756912,125.10M
408,CMPO,"CompoSecure, Inc.",460.65M,3.85%,73410,390.63M
409,MTW,"The Manitowoc Company, Inc.",456.96M,-0.69%,207861,2.23B
410,RGP,"Resources Connection, Inc.",444.32M,-1.51%,342977,704.52M
411,EAF,GrafTech International Ltd.,428.91M,-5.99%,2511798,620.50M
412,TRC,Tejon Ranch Co.,418.68M,-1.15%,41625,44.74M
413,BBCP,"Concrete Pumping Holdings, Inc.",416.97M,-2.07%,266538,446.38M
414,FORR,"Forrester Research, Inc.",407.27M,1.00%,436156,480.78M
415,SWIM,"Latham Group, Inc.",392.86M,18.47%,833981,566.49M
416,DSKE,"Daseke, Inc.",390.58M,0.24%,188194,1.57B
417,ASLE,AerSale Corporation,385.25M,-2.79%,516536,334.50M
418,KODK,Eastman Kodak Company,382.65M,-,912487,1.12B
419,WLDN,"Willdan Group, Inc.",381.16M,-1.05%,91495,510.10M
420,CVEO,Civeo Corporation,377.89M,-1.51%,64523,700.81M
421,CIX,CompX International Inc.,368.55M,6.38%,24184,161.29M
422,TBI,"TrueBlue, Inc.",368.49M,-1.62%,463200,1.91B
423,ALTG,Alta Equipment Group Inc.,362.50M,1.54%,579286,2.01B
424,SHYF,"The Shyft Group, Inc.",362.01M,4.01%,253136,872.20M
425,MTRX,Matrix Service Company,360.97M,-1.06%,206946,765.45M
426,HSHP,Himalaya Shipping Ltd.,359.98M,-,209292,36.74M
427,CYD,China Yuchai International Limited,357.51M,0.34%,6761,2.30B
428,PTSI,"P.A.M. Transportation Services, Inc.",349.25M,-5.05%,12315,810.81M
429,DSX,Diana Shipping Inc.,346.83M,-0.67%,517067,262.10M
430,PKOH,Park-Ohio Holdings Corp.,340.19M,0.04%,20908,1.66B
431,NWPX,Northwest Pipe Company,334.65M,-1.54%,42837,444.36M
432,WLFC,Willis Lease Finance Corporation,332.78M,-0.02%,11723,418.56M
433,NVX,Novonix Limited,326.23M,-8.99%,30717,8.05M
434,NL,"NL Industries, Inc.",324.25M,-1.51%,27857,161.29M
435,PANL,"Pangaea Logistics Solutions, Ltd.",315.01M,-1.32%,475899,499.27M
436,PKE,Park Aerospace Corp.,310.69M,-2.28%,24629,53.20M
437,AMBI,Ambipar Emergency Response,310.41M,2.42%,16702,-
438,EVI,"EVI Industries, Inc.",304.31M,-2.67%,12122,367.55M
439,POWW,"AMMO, Inc.",296.65M,-1.60%,426163,148.32M
440,LXFR,Luxfer Holdings PLC,278.01M,0.19%,417583,405.00M
441,LEV,The Lion Electric Company,274.54M,-0.83%,312912,253.50M
442,MG,"Mistras Group, Inc.",272.96M,0.45%,106333,705.47M
443,BLNK,Blink Charging Co.,271.03M,-7.02%,7135105,120.49M
444,GHM,Graham Corporation,267.68M,-0.93%,32751,179.49M
445,QUAD,"Quad/Graphics, Inc.",265.59M,-1.57%,128918,2.96B
446,SPIR,"Spire Global, Inc.",264.47M,2.76%,157527,105.70M
447,BYRN,Byrna Technologies Inc.,263.80M,9.17%,169428,42.64M
448,ORN,"Orion Group Holdings, Inc.",262.34M,1.24%,357352,711.78M
449,MEC,"Mayville Engineering Company, Inc.",261.69M,1.87%,22654,588.43M
450,FSTR,L.B. Foster Company,261.62M,0.63%,46606,543.74M
451,AMPX,"Amprius Technologies, Inc.",250.16M,-1.06%,612187,5.90M
452,SLDP,"Solid Power, Inc.",249.91M,-2.17%,2057704,17.41M
453,SLND,"Southland Holdings, Inc.",249.79M,0.97%,11386,1.16B
454,RLGT,"Radiant Logistics, Inc.",249.63M,-0.38%,92568,888.28M
455,LGCL,Lucas GC Limited,246.65M,-6.06%,68314,178.36M
456,ESEA,Euroseas Ltd.,246.29M,3.30%,26594,189.36M
457,BAER,"Bridger Aerospace Group Holdings, Inc.",239.28M,0.61%,24234,66.71M
458,LLAP,Terran Orbital Corporation,239.19M,-4.88%,1992358,136.24M
459,NNBR,"NN, Inc.",233.54M,0.42%,144825,489.27M
460,GENC,"Gencor Industries, Inc.",233.09M,-1.36%,27044,105.27M
461,TWIN,"Twin Disc, Incorporated",223.93M,-2.19%,11203,294.24M
462,PFMT,Performant Financial Corporation,223.84M,-0.34%,759702,113.74M
463,RDW,Redwire Corporation,218.40M,4.78%,577289,234.02M
464,GASS,StealthGas Inc.,215.03M,0.16%,84812,143.53M
465,AAN,"The Aaron's Company, Inc.",211.01M,-2.01%,286203,2.14B
466,FREY,FREYR Battery,199.78M,-0.70%,1451633,-
467,DLHC,DLH Holdings Corp.,198.66M,-1.36%,31019,401.00M
468,EOSE,"Eos Energy Enterprises, Inc.",193.97M,-3.14%,4045213,16.38M
469,GRIN,Grindrod Shipping Holdings Ltd.,193.55M,5.94%,37402,387.10M
470,BLDE,"Blade Air Mobility, Inc.",189.71M,-5.56%,975359,225.18M
471,KNOP,KNOT Offshore Partners LP,185.52M,-3.32%,74796,290.72M
472,RCMT,"RCM Technologies, Inc.",182.39M,-5.29%,303329,263.24M
473,SCWO,"374Water, Inc.",181.75M,-0.73%,88210,1.65M
474,ARQ,"Arq, Inc.",181.08M,2.65%,220270,99.18M
475,EML,The Eastern Company,177.06M,-1.65%,21654,273.45M
476,TUSK,"Mammoth Energy Services, Inc.",175.95M,1.97%,29988,309.49M
477,TG,Tredegar Corporation,174.45M,-2.37%,273864,702.68M
478,HQI,"HireQuest, Inc.",173.89M,-2.00%,7707,32.28M
479,MVST,"Microvast Holdings, Inc.",173.48M,-1.60%,6776432,266.84M
480,SHIP,Seanergy Maritime Holdings Corp.,171.42M,5.27%,393568,125.02M
481,SST,"System1, Inc.",157.31M,3.47%,349694,401.97M
482,SHIM,Shimmick Corporation,157.04M,-9.41%,48631,655.24M
483,LUNR,"Intuitive Machines, Inc.",156.92M,-3.10%,2189283,86.95M
484,QRHC,Quest Resource Holding Corporation,142.01M,-0.85%,19393,288.38M
485,TAYD,"Taylor Devices, Inc.",139.99M,-7.22%,32645,40.87M
486,SFWL,Shengfeng Development Limited,139.26M,8.39%,233245,388.76M
487,CSTE,Caesarstone Ltd.,138.84M,-1.74%,39790,565.23M
488,EVTL,Vertical Aerospace Ltd.,137.84M,33.23%,2143547,-
489,ULBI,Ultralife Corporation,137.58M,2.85%,70172,150.20M
490,MNTX,"Manitex International, Inc.",137.45M,0.88%,80314,291.39M
491,LICY,Li-Cycle Holdings Corp.,136.68M,44.09%,40456633,18.30M
492,HURC,"Hurco Companies, Inc.",134.22M,-2.08%,66744,218.18M
493,ESOA,Energy Services of America Corporation,133.55M,-3.36%,174965,334.23M
494,ISSC,"Innovative Solutions and Support, Inc.",132.87M,1.18%,60162,37.60M
495,TPIC,"TPI Composites, Inc.",127.31M,-0.37%,757090,1.46B
496,PESI,"Perma-Fix Environmental Services, Inc.",126.46M,2.16%,38286,89.74M
497,DHX,"DHI Group, Inc.",125.36M,-3.45%,375969,151.88M
498,GWH,"ESS Tech, Inc.",121.92M,-5.32%,1353387,7.54M
499,CRGO,Freightos Limited,120.05M,1.19%,4550,20.28M
500,TATT,TAT Technologies Ltd.,117.83M,0.42%,13228,113.79M
501,ARC,"ARC Document Solutions, Inc.",113.33M,-3.40%,114726,281.20M
502,SKYX,SKYX Platforms Corp.,111.52M,-0.83%,150607,36.62M
503,BGSF,"BGSF, Inc.",111.05M,0.10%,8048,313.17M
504,GIFI,"Gulf Island Fabrication, Inc.",110.63M,4.69%,213338,151.07M
505,SCX,The L.S. Starrett Company,109.66M,0.25%,52935,251.66M
506,TORO,Toro Corp.,105.46M,3.68%,52609,78.47M
507,MPU,Mega Matrix Corp.,104.97M,-,411302,1.51M
508,ELVA,Electrovaya Inc.,104.72M,-0.76%,50897,44.06M
509,VTSI,"VirTra, Inc.",104.07M,4.26%,132647,36.57M
510,FBYD,"Falcon's Beyond Global, Inc.",102.30M,3.45%,12749,22.85M
511,MHH,"Mastech Digital, Inc.",102.07M,-1.70%,2988,201.10M
512,IVAC,"Intevac, Inc.",100.99M,3.16%,163147,52.67M
513,CBAT,"CBAK Energy Technology, Inc.",94.86M,-2.36%,144589,204.44M
514,PMEC,Primech Holdings Ltd.,94.21M,17.74%,110107,69.03M
515,RR,Richtech Robotics Inc.,90.69M,-,43156,7.29M
516,SOAR,Volato Group Inc.,87.90M,-11.21%,69203,109.72M
517,OMEX,"Odyssey Marine Exploration, Inc.",85.18M,-4.96%,125872,1.11M
518,SRFM,Surf Air Mobility Inc.,80.99M,-1.46%,123647,100.01M
519,AENT,Alliance Entertainment Holding Corporation,78.43M,-1.28%,10084,1.13B
520,XOS,"Xos, Inc.",75.95M,-2.12%,8054,34.72M
521,BW,"Babcock & Wilcox Enterprises, Inc.",74.23M,-21.01%,10852964,999.35M
522,ZCAR,"Zoomcar Holdings, Inc.",71.05M,4.42%,134398,16.54M
523,IPWR,Ideal Power Inc.,69.26M,-3.78%,17341,154.00K
524,APT,"Alpha Pro Tech, Ltd.",65.79M,-1.57%,66677,61.23M
525,FLUX,"Flux Power Holdings, Inc.",65.64M,0.76%,39845,64.48M
526,EDRY,EuroDry Ltd.,64.08M,-0.13%,14778,47.59M
527,ESP,Espey Mfg. & Electronics Corp.,63.33M,-1.77%,3343,37.02M
528,PPIH,"Perma-Pipe International Holdings, Inc.",63.20M,-3.90%,2238,146.93M
529,TOPS,Top Ships Inc.,61.76M,0.08%,7628,124.43M
530,CODA,"Coda Octopus Group, Inc.",61.74M,-0.18%,67435,18.22M
531,RAIL,"FreightCar America, Inc.",57.47M,-,106064,360.48M
532,BEEP,Mobile Infrastructure Corporation,57.00M,-1.62%,31634,44.38M
533,PPSI,"Pioneer Power Solutions, Inc.",54.62M,-0.55%,104249,42.60M
534,AIRT,"Air T, Inc.",54.20M,-2.24%,7005,288.53M
535,AQMS,"Aqua Metals, Inc.",52.83M,-3.47%,407563,25.00K
536,VATE,INNOVATE Corp.,51.92M,-3.71%,360048,1.42B
537,AP,Ampco-Pittsburgh Corporation,50.06M,-2.78%,22222,407.77M
538,NTIP,"Network-1 Technologies, Inc.",49.37M,-5.71%,78386,2.60M
539,PXS,Pyxis Tankers Inc.,49.27M,-0.42%,35716,50.60M
540,OPXS,"Optex Systems Holdings, Inc",48.99M,-0.84%,13816,28.59M
541,BWEN,"Broadwind, Inc.",47.88M,1.80%,81723,203.48M
542,HOVR,New Horizon Aircraft Ltd.,47.24M,-7.21%,49067,-
543,HSON,"Hudson Global, Inc.",46.45M,1.27%,24755,161.34M
544,GLBS,Globus Maritime Limited,45.90M,-0.44%,37191,31.21M
545,VCIG,VCI Global Limited,43.73M,-0.87%,727329,12.43M
546,JOB,"GEE Group, Inc.",42.37M,-3.39%,267097,141.93M
547,PIXY,"ShiftPixy, Inc.",41.83M,100.00%,12321013,15.64M
548,BEST,BEST Inc.,41.75M,6.67%,13402,1.11B
549,SUGP,SU Group Holdings Limited,40.28M,-2.88%,156529,20.93M
550,GFAI,"Guardforce AI Co., Limited",39.91M,-0.49%,576000,35.95M
551,CTRM,Castor Maritime Inc.,39.62M,0.20%,222817,97.52M
552,LTBR,Lightbridge Corporation,39.59M,12.68%,365583,-
553,CCTG,CCSC Technology International Holdings Limited,39.03M,7.32%,369233,15.94M
554,KSCP,"Knightscope, Inc.",39.01M,6.49%,1474701,12.13M
555,STI,Solidion Technology Inc.,38.72M,56.32%,90613338,19.04K
556,CLIR,ClearSign Technologies Corporation,37.18M,1.96%,78345,1.18M
557,HYFM,"Hydrofarm Holdings Group, Inc.",36.60M,1.36%,319704,226.58M
558,AERT,Aeries Technology Inc.,35.50M,-4.41%,24251,105.90M
559,FTEK,"Fuel Tech, Inc.",34.94M,-5.22%,176579,27.08M
560,GTEC,Greenland Technologies Holding Corporation,34.53M,-6.69%,25665,86.69M
561,MESA,"Mesa Air Group, Inc.",32.42M,-2.64%,157154,498.07M
562,CACO,Caravelle International Group,32.19M,1.11%,9313,133.78M
563,CVU,"CPI Aerostructures, Inc.",32.19M,-1.18%,45444,87.04M
564,AZ,A2Z Smart Technologies Corp.,32.10M,-13.99%,82685,15.75M
565,RFIL,"RF Industries, Ltd.",31.96M,-2.27%,4966,72.17M
566,CVV,CVD Equipment Corporation,31.80M,-3.00%,6255,27.23M
567,LICN,Lichen China Limited,31.54M,-2.52%,18000,33.58M
568,DFLI,Dragonfly Energy Holdings Corp.,31.44M,-4.36%,161746,74.16M
569,OESX,"Orion Energy Systems, Inc.",29.31M,0.33%,20154,85.80M
570,SVT,"Servotronics, Inc.",29.06M,3.18%,3844,43.47M
571,SPEC,Spectaire Holdings Inc.,28.39M,6.11%,17044,-
572,APWC,Asia Pacific Wire & Cable Corporation Limited,27.83M,4.92%,2610,433.89M
573,SNT,Senstar Technologies Ltd.,27.47M,-0.85%,51419,33.77M
574,TISI,"Team, Inc.",25.70M,-12.54%,30928,862.62M
575,UGRO,"urban-gro, Inc.",25.68M,-0.45%,187371,73.86M
576,NEOV,NeoVolta Inc.,25.60M,2.91%,41621,3.13M
577,FPAY,"FlexShopper, Inc.",25.55M,2.54%,30296,108.12M
578,USEA,United Maritime Corporation,25.34M,1.03%,51864,33.42M
579,JYD,Jayud Global Logistics Limited,23.84M,-4.76%,5319,90.57M
580,SGRP,"SPAR Group, Inc.",23.71M,-1.96%,3370,262.29M
581,PSHG,Performance Shipping Inc.,23.21M,-1.60%,39074,108.94M
582,XPON,Expion360 Inc.,23.13M,-3.02%,28205,6.54M
583,EPOW,"Sunrise New Energy Co., Ltd.",22.95M,-3.19%,20315,48.57M
584,WHLM,"Wilhelmina International, Inc.",22.12M,9.07%,15115,17.54M
585,IGC,IGC Pharma Inc,20.68M,4.47%,885597,1.22M
586,ALPP,"Alpine 4 Holdings, Inc.",20.05M,-4.33%,34147,106.08M
587,OP,OceanPal Inc.,19.45M,-5.49%,21782,18.87M
588,SIF,"SIFCO Industries, Inc.",19.41M,-2.52%,1604,86.78M
589,LIQT,"LiqTech International, Inc.",18.84M,-3.50%,4208,18.09M
590,OPTT,"Ocean Power Technologies, Inc.",17.81M,2.57%,400292,4.93M
591,IPDN,"Professional Diversity Network, Inc.",17.79M,3.92%,15470,7.76M
592,RVSN,Rail Vision Ltd.,16.50M,1.84%,2606045,142.00K
593,CVR,Chicago Rivet & Machine Co.,16.47M,-4.40%,12653,31.58M
594,SIDU,"Sidus Space, Inc.",15.26M,4.93%,178784,6.95M
595,ASTC,Astrotech Corporation,15.11M,-1.24%,2548,1.99M
596,GVH,Globavend Holdings Limited,14.69M,0.92%,22510,18.59M
597,TOMZ,"TOMI Environmental Solutions, Inc.",14.54M,-2.16%,11203,8.64M
598,JAN,JanOne Inc.,14.28M,-2.43%,260041,11.16M
599,AIRI,Air Industries Group,14.16M,6.56%,15700,51.94M
600,DCFC,Tritium DCFC Limited,13.37M,5.12%,4018325,184.54M
601,SGLY,Singularity Future Technology Ltd.,13.15M,15.22%,99942,3.68M
602,LASE,Laser Photonics Corporation,12.88M,7.69%,87871,4.61M
603,ASTR,"Astra Space, Inc.",12.72M,-5.36%,428821,963.00K
604,VRME,"VerifyMe, Inc.",12.62M,5.04%,75473,26.30M
605,IDEX,"Ideanomics, Inc.",12.57M,-2.86%,300869,36.48M
606,GRNQ,Greenpro Capital Corp.,12.35M,-,6686,3.29M
607,KITT,"Nauticus Robotics, Inc.",11.91M,-1.26%,408635,8.77M
608,CHNR,"China Natural Resources, Inc.",11.79M,-3.33%,11974,2.91M
609,IVDA,"Iveda Solutions, Inc.",11.66M,-4.30%,171599,7.59M
610,CLWT,Euro Tech Holdings Company Limited,11.20M,-,1267,16.18M
611,DPRO,Draganfly Inc.,11.16M,4.13%,452117,5.15M
612,SHPW,"Shapeways Holdings, Inc.",10.87M,3.01%,9804,33.72M
613,YGMZ,MingZhu Logistics Holdings Limited,10.78M,0.84%,89188,109.83M
614,ROMA,Roma Green Finance Limited,10.74M,-3.74%,163169,1.74M
615,MWG,Multi Ways Holdings Ltd,10.45M,-2.65%,14608,32.64M
616,ARTW,"Art's-Way Manufacturing Co., Inc.",10.43M,3.88%,39159,30.28M
617,WLGS,"WANG & LEE GROUP, Inc.",9.88M,-0.72%,60217,4.36M
618,ILAG,Intelligent Living Application Group Inc.,9.57M,-5.62%,23935,6.75M
619,AWX,Avalon Holdings Corporation,9.36M,-3.33%,3684,84.54M
620,HIHO,Highway Holdings Limited,9.10M,-0.49%,3467,-
621,ENG,ENGlobal Corporation,8.82M,-1.16%,14498,40.79M
622,RAYA,Erayak Power Solution Group Inc.,8.38M,9.34%,168501,24.88M
623,POLA,"Polar Power, Inc.",7.90M,3.91%,170762,18.05M
624,PRZO,ParaZero Technologies Ltd.,7.47M,0.16%,66629,560.12K
625,KWE,KWESST Micro Systems Inc.,7.30M,-0.78%,18714,786.61K
626,KIQ,Kelso Technologies Inc.,7.13M,-6.50%,147631,10.14M
627,ESGL,ESGL Holdings Ltd,7.01M,3.00%,5766,8.39M
628,DGLY,"Digital Ally, Inc.",7.00M,6.80%,19901,31.19M
629,MNTS,Momentus Inc.,6.13M,9.97%,486915,2.19M
630,GPAK,Gamer Pakistan Inc.,5.97M,-15.09%,40018,-
631,AEHL,Antelope Enterprise Holdings Limited,5.25M,1.34%,24880,63.62M
632,BURU,"Nuburu, Inc.",5.19M,-3.35%,155519,2.15M
633,GWAV,"Greenwave Technology Solutions, Inc.",5.02M,23.10%,7887613,32.65M
634,VIEW,"View, Inc.",4.80M,-6.92%,102014,128.84M
635,CEAD,CEA Industries Inc.,4.49M,2.43%,33023,8.12M
636,ATXG,Addentax Group Corp.,4.38M,-3.92%,26189,5.15M
637,SGBX,Safe & Green Holdings Corp,4.03M,0.09%,158672,18.67M
638,AGFY,Agrify Corporation,3.97M,2.07%,304402,19.90M
639,JCSE,JE Cleantech Holdings Limited,3.81M,-2.69%,4677,14.89M
640,EFSH,1847 Holdings LLC,3.73M,-9.56%,152166,63.06M
641,BKYI,"BIO-key International, Inc.",3.57M,1.52%,23856,8.59M
642,UUU,"Universal Security Instruments, Inc.",3.35M,-0.69%,28381,21.00M
643,SMX,SMX (Security Matters) PLC,2.62M,-13.12%,2724445,-
644,TBLT,"ToughBuilt Industries, Inc.",2.49M,-6.21%,63568,89.62M
645,NXU,"Nxu, Inc.",2.43M,2.22%,361275,-
646,LGMK,"LogicMark, Inc.",2.41M,-3.57%,73635,9.65M
647,STAF,"Staffing 360 Solutions, Inc.",2.36M,3.31%,132609,258.50M
648,RCRT,"Recruiter.com Group, Inc.",2.25M,1.85%,6030,9.94M
649,CISS,C3is Inc.,1.30M,4.24%,79860281,-
650,AULT,"Ault Alliance, Inc.",1.14M,-7.49%,3628754,160.92M
651,SPCB,SuperCom Ltd.,1.09M,-0.79%,362204,25.51M
