,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
87,NXE,NexGen Energy Ltd.,4.01B,-0.94%,2363933,-
88,HP,"Helmerich & Payne, Inc.",3.97B,0.47%,276778,2.83B
89,VIST,"Vista Energy, SAB de CV",3.89B,1.40%,727970,1.17B
90,NOG,"Northern Oil and Gas, Inc.",3.82B,0.79%,261307,2.17B
91,STNG,Scorpio Tankers Inc.,3.79B,-0.43%,314281,1.34B
92,CRC,California Resources Corporation,3.74B,-0.44%,217679,2.80B
93,ERF,Enerplus Corporation,3.72B,1.23%,613971,1.69B
94,EURN,Euronav NV,3.61B,-4.60%,837456,1.63B
95,CVI,"CVR Energy, Inc.",3.59B,-0.39%,267344,9.25B
96,SDRL,Seadrill Limited,3.50B,1.25%,189124,1.50B
97,LBRT,Liberty Energy Inc.,3.39B,-0.20%,1106089,4.75B
98,BSM,"Black Stone Minerals, L.P.",3.27B,0.71%,233193,592.22M
99,CNX,CNX Resources Corporation,3.24B,-1.22%,671559,3.43B
100,TRMD,TORM plc,3.17B,-1.11%,518980,1.52B
101,WHD,"Cactus, Inc.",3.12B,-0.54%,171699,1.10B
102,BTU,Peabody Energy Corporation,3.05B,3.03%,2533519,4.95B
103,NS,NuStar Energy L.P.,2.96B,0.56%,111692,1.63B
104,AROC,"Archrock, Inc.",2.93B,-0.64%,275875,990.34M
105,ARCH,"Arch Resources, Inc.",2.91B,1.19%,246479,3.15B
106,USAC,"USA Compression Partners, LP",2.84B,0.33%,152173,846.18M
107,GPOR,Gulfport Energy Corporation,2.77B,0.06%,191939,1.05B
108,BTE,Baytex Energy Corp.,2.74B,-0.30%,3248627,2.04B
109,KOS,Kosmos Energy Ltd.,2.69B,0.53%,2183669,1.70B
110,INSW,"International Seaways, Inc.",2.55B,-0.60%,110696,1.07B
111,UEC,Uranium Energy Corp.,2.54B,0.80%,2176688,59.39M
112,ARLP,"Alliance Resource Partners, L.P.",2.53B,-0.40%,187164,2.57B
113,GLNG,Golar LNG Limited,2.46B,-0.13%,581066,267.74M
114,TGS,Transportadora de Gas del Sur S.A.,2.43B,6.52%,238432,932.68M
115,CEIX,CONSOL Energy Inc.,2.40B,2.11%,181670,2.57B
116,TALO,Talos Energy Inc.,2.36B,1.17%,778423,1.46B
117,CPE,Callon Petroleum Company,2.23B,1.46%,430861,2.34B
118,CRK,"Comstock Resources, Inc.",2.23B,-1.62%,2122162,1.57B
119,PARR,"Par Pacific Holdings, Inc.",2.21B,3.01%,330743,8.23B
120,OII,"Oceaneering International, Inc.",2.20B,1.65%,250624,2.42B
121,AESI,Atlas Energy Solutions Inc.,2.19B,-0.57%,263244,613.96M
122,KNTK,Kinetik Holdings Inc.,2.19B,0.74%,573044,1.26B
123,XPRO,Expro Group Holdings N.V.,2.03B,0.76%,317076,1.51B
124,CRGY,Crescent Energy Company,1.97B,-0.45%,486881,2.38B
125,HPK,"HighPeak Energy, Inc.",1.97B,-0.36%,121260,1.11B
126,TNK,Teekay Tankers Ltd.,1.90B,-0.83%,167838,1.36B
127,DK,"Delek US Holdings, Inc.",1.89B,1.85%,384361,16.92B
128,DKL,"Delek Logistics Partners, LP",1.87B,-0.13%,49896,1.02B
129,VTLE,"Vital Energy, Inc.",1.86B,0.90%,161442,1.55B
130,VET,Vermilion Energy Inc.,1.84B,3.71%,694189,1.51B
131,KGS,"Kodiak Gas Services, Inc.",1.82B,0.17%,44554,850.38M
132,DHT,"DHT Holdings, Inc.",1.81B,-1.38%,525563,560.56M
133,BORR,Borr Drilling Limited,1.76B,0.44%,435652,771.60M
134,MNR,Mach Natural Resources LP,1.73B,-0.16%,55342,817.06M
135,DNN,Denison Mines Corp.,1.68B,-0.27%,6957219,1.39M
136,RES,"RPC, Inc.",1.64B,-0.85%,452977,1.62B
137,KRP,"Kimbell Royalty Partners, LP",1.58B,0.98%,147245,294.07M
138,GLP,Global Partners LP,1.55B,0.02%,20598,16.49B
139,DNOW,NOW Inc.,1.53B,-0.80%,538476,2.32B
140,LPG,Dorian LPG Ltd.,1.53B,-1.15%,228505,552.96M
141,HLX,"Helix Energy Solutions Group, Inc.",1.51B,1.26%,562730,1.29B
142,WKC,World Kinect Corporation,1.49B,2.01%,159636,47.71B
143,NEXT,NextDecade Corporation,1.39B,1.20%,383244,-
144,FLNG,FLEX LNG Ltd.,1.37B,-1.10%,139152,371.02M
145,DO,"Diamond Offshore Drilling, Inc.",1.34B,2.19%,724198,1.06B
146,DMLP,"Dorchester Minerals, L.P.",1.29B,1.72%,49366,163.80M
147,GEL,"Genesis Energy, L.P.",1.28B,0.29%,134649,3.18B
148,ACDC,ProFrac Holding Corp.,1.26B,-0.95%,349644,2.63B
149,NRP,Natural Resource Partners L.P.,1.15B,-0.34%,20803,370.01M
150,CLMT,"Calumet Specialty Products Partners, L.P.",1.14B,-1.72%,91076,4.18B
151,NVGS,Navigator Holdings Ltd.,1.09B,-1.73%,137262,550.74M
152,WTTR,"Select Energy Services, Inc.",1.06B,-0.34%,392730,1.59B
153,MRC,MRC Global Inc.,1.05B,0.56%,95807,3.41B
154,UUUU,Energy Fuels Inc.,987.96M,-,1116647,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",983.12M,1.71%,251183,1.55B
156,PDS,Precision Drilling Corporation,930.14M,0.39%,14503,1.46B
157,SBR,Sabine Royalty Trust,898.52M,-0.17%,10384,93.01M
158,SBOW,"SilverBow Resources, Inc.",862.57M,2.18%,163555,652.36M
159,CAPL,CrossAmerica Partners LP,852.34M,0.27%,13810,4.39B
160,NBR,Nabors Industries Ltd.,848.70M,-0.08%,77615,3.05B
161,PUMP,ProPetro Holding Corp.,828.27M,-1.49%,352277,1.63B
162,DRQ,"Dril-Quip, Inc.",824.56M,-0.42%,30930,424.06M
163,NGL,NGL Energy Partners LP,793.75M,-0.83%,87909,7.38B
164,CLB,Core Laboratories N.V.,769.50M,-1.12%,70981,509.79M
165,EU,enCore Energy Corp.,751.59M,-0.37%,795692,-
166,TELL,Tellurian Inc.,751.10M,-27.08%,45149941,166.13M
167,EFXT,Enerflex Ltd.,748.70M,-0.99%,87630,2.38B
168,VTOL,Bristow Group Inc.,723.64M,0.33%,21827,1.30B
169,TNP,Tsakos Energy Navigation Limited,716.10M,2.97%,148667,860.40M
170,VTS,"Vitesse Energy, Inc.",688.05M,0.77%,125666,233.91M
171,TK,Teekay Corporation,657.06M,-0.28%,192535,1.46B
172,NOA,North American Construction Group Ltd.,617.80M,0.13%,15573,719.71M
173,NR,"Newpark Resources, Inc.",606.64M,1.47%,172674,749.60M
174,PBT,Permian Basin Royalty Trust,599.86M,4.51%,90628,29.10M
175,LEU,Centrus Energy Corp.,599.59M,-0.44%,68238,320.20M
176,OBE,Obsidian Energy Ltd.,597.22M,1.30%,178346,514.59M
177,REPX,"Riley Exploration Permian, Inc.",593.64M,0.24%,51622,375.05M
178,EGY,"VAALCO Energy, Inc.",578.08M,2.98%,1286900,455.07M
179,CLNE,Clean Energy Fuels Corp.,562.56M,-0.40%,609643,425.16M
180,BRY,Berry Corporation,560.28M,1.09%,281182,903.46M
181,TTI,"TETRA Technologies, Inc.",556.87M,-1.17%,268695,626.26M
182,DEC,Diversified Energy Company PLC,554.50M,-,49543,-
183,TXO,TXO Partners L.P.,541.20M,-0.74%,18297,380.72M
184,GPRK,GeoPark Limited,525.83M,0.11%,71987,787.86M
185,SD,"SandRidge Energy, Inc.",515.33M,0.94%,151823,148.64M
186,OSG,"Overseas Shipholding Group, Inc.",433.52M,-1.39%,122669,451.87M
187,URG,Ur-Energy Inc.,413.99M,1.02%,1246927,17.68M
188,SGU,"Star Group, L.P.",382.78M,-3.86%,23427,1.83B
189,WTI,"W&T Offshore, Inc.",380.36M,-2.12%,1374077,532.66M
190,OIS,"Oil States International, Inc.",378.31M,-0.08%,666895,782.28M
191,REI,"Ring Energy, Inc.",370.14M,-0.27%,1968371,361.06M
192,SOI,"Solaris Oilfield Infrastructure, Inc.",367.31M,-0.06%,75494,292.95M
193,BOOM,DMC Global Inc.,354.77M,1.17%,60419,719.19M
194,CCLP,CSI Compressco LP,317.77M,-,33609,386.13M
195,UROY,Uranium Royalty Corp.,294.70M,-1.22%,894754,33.08M
196,RNGR,"Ranger Energy Services, Inc.",262.43M,-1.21%,41789,636.60M
197,SJT,San Juan Basin Royalty Trust,261.01M,1.79%,131384,78.31M
198,BROG,Brooge Energy Limited,256.44M,-1.32%,1758,-
199,AMPY,Amplify Energy Corp.,238.01M,2.40%,448563,307.60M
200,HNRG,Hallador Energy Company,228.15M,-4.28%,275290,634.48M
201,FET,"Forum Energy Technologies, Inc.",223.56M,2.86%,8873,738.86M
202,NGS,"Natural Gas Services Group, Inc.",218.77M,-0.34%,11833,108.77M
203,NC,"NACCO Industries, Inc.",216.10M,1.21%,4105,214.79M
204,GTE,Gran Tierra Energy Inc.,201.54M,2.56%,355485,636.96M
205,EPM,Evolution Petroleum Corporation,200.74M,0.17%,116509,96.67M
206,SMLP,"Summit Midstream Partners, LP",191.44M,-3.36%,44634,458.90M
207,PNRG,PrimeEnergy Resources Corporation,184.77M,-1.02%,1689,111.14M
208,GEOS,Geospace Technologies Corporation,166.33M,2.56%,26026,143.43M
209,EP,Empire Petroleum Corporation,142.20M,-0.99%,14227,37.42M
210,KGEI,Kolibri Global Energy Inc.,124.69M,-5.08%,1149,-
211,KLXE,"KLX Energy Services Holdings, Inc.",122.57M,-0.55%,70042,888.40M
212,AMTX,"Aemetis, Inc.",122.47M,-4.84%,418663,182.69M
213,VTNR,"Vertex Energy, Inc.",115.02M,-2.85%,1030822,3.18B
214,PHX,PHX Minerals Inc.,114.19M,-,19611,44.46M
215,FTK,"Flotek Industries, Inc.",113.91M,-3.12%,25090,188.06M
216,EPSN,Epsilon Energy Ltd.,109.69M,0.30%,12467,37.38M
217,VOC,VOC Energy Trust,104.21M,-2.85%,74269,19.14M
218,CRT,Cross Timbers Royalty Trust,102.66M,-9.26%,135918,12.71M
219,MMLP,Martin Midstream Partners L.P.,101.79M,-3.83%,16514,797.96M
220,DLNG,Dynagas LNG Partners LP,99.37M,0.85%,3765,158.59M
221,BATL,Battalion Oil Corporation,97.42M,-1.69%,17234,250.32M
222,DTI,Drilling Tools International Corp.,89.90M,-0.66%,6974,-
223,SND,"Smart Sand, Inc.",81.93M,-1.05%,97729,295.97M
224,PFIE,"Profire Energy, Inc.",78.18M,4.22%,83395,58.21M
225,IMPP,Imperial Petroleum Inc.,77.62M,-1.62%,136052,183.73M
226,SLNG,"Stabilis Solutions, Inc.",76.38M,-3.16%,859,73.11M
227,NINE,"Nine Energy Service, Inc.",75.60M,0.93%,133957,609.53M
228,PED,PEDEVCO Corp.,68.74M,1.42%,105461,29.97M
